汉明距离,fp余弦值,降维余弦值,集合相似度,ENSD相似度,特征数量
9,.728,.387,.229,.068,320,596
13,.606,.393,.120,.000,320,295
1,.972,.985,.998,1.000,320,322
16,.529,.001,.107,.000,320,250
1,.972,.999,.997,1.000,320,322
14,.564,.241,.131,.000,320,141
3,.910,.968,.959,1.000,320,343
1,.970,.998,.994,1.000,320,325
10,.706,.407,.176,.178,320,189
12,.647,.440,.226,.120,320,264
14,.562,.288,.122,.000,596,295
10,.707,.366,.233,.112,596,322
15,.546,.087,.118,.096,596,250
10,.707,.385,.230,.068,596,322
13,.581,.384,.201,.384,596,141
10,.688,.324,.232,.121,596,343
10,.688,.375,.230,.068,596,325
11,.667,.458,.158,.055,596,189
7,.788,.622,.161,.047,596,264
14,.589,.362,.117,.000,295,322
13,.606,.130,.146,.186,295,250
14,.589,.397,.120,.000,295,322
15,.516,.020,.048,.000,295,141
12,.625,.386,.132,.000,295,343
12,.625,.390,.120,.000,295,325
9,.728,.366,.152,.158,295,189
15,.546,.137,.080,.068,295,264
17,.514,-.013,.104,.000,322,250
0,1.000,.986,1.000,1.000,322,322
13,.609,.272,.126,.095,322,141
4,.884,.963,.964,1.000,322,343
2,.943,.984,.996,1.000,322,325
11,.686,.361,.173,.144,322,189
11,.686,.458,.218,.107,322,264
17,.514,-.008,.106,.000,250,322
20,.376,-.202,.080,.000,250,141
17,.485,-.008,.102,.000,250,343
17,.485,.008,.107,.000,250,325
12,.647,.313,.175,.240,250,189
14,.588,.042,.059,.000,250,264
13,.609,.241,.131,.000,322,141
4,.884,.969,.962,1.000,322,343
2,.943,.998,.996,1.000,322,325
11,.686,.409,.175,.178,322,189
11,.686,.435,.226,.120,322,264
17,.452,.119,.126,.000,141,343
13,.581,.229,.130,.000,141,325
14,.564,.192,.120,.000,141,189
12,.626,.515,.037,.000,141,264
4,.875,.964,.966,1.000,343,325
13,.606,.371,.163,.156,343,189
15,.546,.371,.212,.113,343,264
11,.667,.413,.176,.178,325,189
13,.606,.434,.225,.120,325,264
8,.765,.541,.156,.176,189,264
12,.630,.339,.068,.156,46,380
14,.544,.262,.057,.093,46,251
17,.458,.072,.053,.244,46,428
16,.447,.214,.048,.188,46,643
13,.588,.320,.097,.277,46,66
10,.693,.282,.133,.318,46,350
19,.487,.255,.046,.043,46,230
12,.630,.374,.059,.094,46,148
13,.588,.344,.049,.108,46,237
14,.544,.365,.049,.201,46,258
11,.654,.367,.067,.072,46,551
15,.548,.209,.112,.040,46,86
12,.612,.441,.203,.226,46,163
12,.612,.557,.140,.167,46,74
15,.523,.330,.065,.000,46,132
14,.544,.084,.098,.046,46,93
15,.548,.277,.131,.101,46,92
11,.686,.298,.096,.141,46,38
9,.711,.370,.054,.215,46,1072
10,.617,.464,.135,.229,380,251
17,.371,.398,.178,.253,380,428
8,.676,.579,.171,.374,380,643
7,.741,.409,.098,.391,380,66
10,.643,.685,.162,.247,380,350
15,.552,-.048,.115,.172,380,230
10,.643,.702,.151,.297,380,148
7,.741,.761,.149,.213,380,237
8,.694,.544,.153,.176,380,258
13,.519,.426,.242,.313,380,551
7,.759,.538,.108,.243,380,86
6,.772,.739,.156,.327,380,163
12,.540,.607,.067,.266,380,74
9,.667,.446,.172,.000,380,132
6,.772,.561,.128,.235,380,93
9,.690,.491,.112,.233,380,92
9,.713,.439,.065,.263,380,38
5,.806,.785,.193,.360,380,1072
17,.320,.340,.135,.209,251,428
10,.548,.453,.168,.376,251,643
11,.560,.352,.076,.209,251,66
14,.463,.226,.129,.201,251,350
11,.662,.376,.155,.455,251,230
14,.463,.332,.106,.280,251,148
13,.480,.413,.184,.292,251,237
12,.500,.495,.111,.128,251,258
13,.480,.362,.109,.223,251,551
15,.447,.198,.066,.156,251,86
12,.500,.403,.105,.260,251,163
12,.500,.411,.043,.185,251,74
11,.560,.396,.119,.097,251,132
12,.500,.198,.066,.153,251,93
15,.447,.180,.071,.152,251,92
15,.490,.280,.040,.171,251,38
7,.696,.714,.327,.680,251,1072
15,.351,.340,.141,.271,428,643
18,.308,.034,.052,.252,428,66
13,.519,.544,.183,.510,428,350
18,.445,-.118,.070,.159,428,230
15,.445,.314,.108,.218,428,148
16,.385,.360,.089,.198,428,237
11,.560,.420,.128,.264,428,258
12,.538,.448,.111,.162,428,551
18,.358,-.121,.048,.213,428,86
17,.320,.109,.083,.286,428,163
17,.320,.239,.055,.233,428,74
16,.385,.031,.061,.000,428,132
17,.320,-.068,.060,.207,428,93
18,.358,-.144,.051,.206,428,92
20,.336,.071,.051,.227,428,38
18,.251,.436,.182,.371,428,1072
7,.702,.291,.096,.472,643,66
12,.507,.397,.171,.267,643,350
15,.508,.330,.142,.321,643,230
14,.423,.367,.122,.314,643,148
13,.439,.456,.133,.235,643,237
12,.456,.540,.153,.201,643,258
15,.351,.298,.197,.373,643,551
13,.490,.404,.073,.275,643,86
10,.548,.401,.105,.343,643,163
12,.456,.407,.080,.293,643,74
13,.439,.354,.098,.000,643,132
12,.456,.339,.078,.266,643,93
13,.490,.340,.079,.264,643,92
